"Years","BottomTrawl","MidwaterTrawl","Hake","Net","HnL","Total Catch","Total Dead"
2007,"9.25","1.79","228.39","2.91","2.04","244.38","244.38"
2008,"4.14","48.75","217.96","0.00","1.31","272.16","272.16"
2009,"8.06","42.16","135.35","0.21","0.43","186.21","186.21"
2010,"9.10","63.23","106.35","0.00","0.16","178.84","178.84"
2011,"18.53","44.32","149.65","0.00","0.13","212.63","212.63"
2012,"41.65","47.84","181.43","0.00","0.35","271.27","271.27"
2013,"51.79","243.53","176.41","0.00","1.03","472.75","472.75"
2014,"72.00","309.72","342.16","0.03","1.86","725.77","725.77"
2015,"12.30","484.04","386.20","0.00","2.25","884.79","884.79"
2016,"9.72","593.94","440.80","0.00","0.92","1,045.38","1,045.38"
2017,"36.29","4,901.11","1,455.20","0.00","2.80","6,395.41","6,395.41"
2018,"36.29","9,468.99","1,081.30","0.00","1.55","10,588.14","10,588.14"
