"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
" Years","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1-SPR","0.05","0.06","0.04","0.04","0.04","0.05","0.08","0.11","0.12","0.13","0.61","0.85","NA"
"Exploitation_Rate","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.01","0.01","0.04","0.06","NA"
"Age 4+ Biomass (mt)","91,682","99,800","100,876","106,867","107,098","126,117","130,681","144,306","145,254","142,506","171,160","182,799","180,855"
"Spawning Biomass (mt)","45,185","47,064","48,958","50,864","53,403","56,192","60,047","64,421","68,547","72,782","76,824","79,032","80,910"
"95% Confidence Interval","34,225–56,144","35,903–58,224","37,599–60,318","39,322–62,406","41,537–65,269","43,949–68,435","47,182–72,911","50,800–78,041","54,193–82,901","57,632–87,931","60,886–92,762","62,073–95,991","62,465–99,354"
"Recruitment","14,554","153,674","21,293","101,007","6,740","6,074","240,825","101,692","34,200","63,177","40,750","37,521","49,257"
"95% Confidence Interval","9,014–23,499","115,970–203,636","14,016–32,346","75,077–135,893","4,369–10,397","4,046–9,117","178,233–325,398","65,391–158,144","20,859–56,072","34,348–116,202","21,614–76,830","19,825–71,012","25,350–95,710"
"Depletion (%)","51.3","53.5","55.6","57.8","60.7","63.9","68.2","73.2","77.9","82.7","87.3","89.8","91.9"
"95% Confidence Interval","42.7–60.0","44.9–62.1","47.1–64.2","49.4–66.2","52.2–69.1","55.4–72.3","59.6–76.9","64.2–82.2","68.6–87.2","73.0–92.4","77.2–97.4","78.9–100.7","79.5–104.4"
