ParName   Value   Gradient
MGparm[2]      8.60618 2.04855e-006
MGparm[3]      63.4541 1.31611e-005
MGparm[4]    0.0649209 8.34412e-006
MGparm[5]     0.189159 7.43772e-007
MGparm[6]    0.0547888 2.43541e-007
MGparm[15]     0.414894 -6.86304e-006
SR_parm[1]      5.39305 2.98516e-005
recdev_early(1889)   -0.0139758  -1.127e-007
recdev_early(1890)   -0.0144311 -4.41933e-007
recdev_early(1891)    -0.014898 9.53202e-007
recdev_early(1892)   -0.0153797 1.96197e-007
recdev_early(1893)   -0.0158717 -4.16603e-007
recdev_early(1894)   -0.0163798 -1.20766e-007
recdev_early(1895)    -0.016904 1.98931e-007
recdev_early(1896)   -0.0174461 2.43364e-007
recdev_early(1897)   -0.0180072 -1.66195e-008
recdev_early(1898)   -0.0185814 -1.07969e-007
recdev_early(1899)   -0.0191681 -1.03043e-007
recdev_early(1900)   -0.0197894   3.447e-007
recdev_early(1901)   -0.0204135 7.22799e-007
recdev_early(1902)   -0.0210322 7.14359e-008
recdev_early(1903)   -0.0217121 -1.35503e-007
recdev_early(1904)   -0.0223953 1.23367e-008
recdev_early(1905)   -0.0230702 -1.24128e-007
recdev_early(1906)   -0.0237344 -8.44905e-008
recdev_early(1907)   -0.0243428 4.67778e-007
recdev_early(1908)   -0.0249264 -5.76318e-007
recdev_early(1909)   -0.0254982 1.53281e-006
recdev_early(1910)   -0.0260518 -1.41434e-006
recdev_early(1911)    -0.026598 2.25946e-006
recdev_early(1912)   -0.0271564 -1.80302e-006
recdev_early(1913)   -0.0278235  2.1341e-006
recdev_early(1914)   -0.0286956 -1.72464e-006
recdev_early(1915)   -0.0299534  1.5869e-006
recdev_early(1916)   -0.0317572 5.25637e-007
recdev_early(1917)   -0.0343272 -6.94457e-008
recdev_early(1918)   -0.0379507 9.12818e-007
recdev_early(1919)   -0.0429012 3.97567e-008
recdev_early(1920)   -0.0493736 1.49193e-007
recdev_early(1921)    -0.057436 -1.04839e-008
recdev_early(1922)   -0.0670229 1.16237e-007
recdev_early(1923)   -0.0779142 4.36296e-007
recdev_early(1924)   -0.0897245 5.44589e-007
recdev_early(1925)    -0.101913 4.06619e-007
recdev_early(1926)    -0.113776 -2.34522e-007
recdev_early(1927)    -0.124483 1.91675e-007
recdev_early(1928)    -0.133189 -2.12498e-007
recdev_early(1929)     -0.13916 8.87301e-007
recdev_early(1930)    -0.141975 9.05961e-007
recdev_early(1931)     -0.14182 1.16549e-006
recdev_early(1932)    -0.139586 7.64989e-007
recdev_early(1933)    -0.136826 -2.51827e-006
recdev_early(1934)    -0.135558 5.72162e-007
recdev_early(1935)    -0.137552  1.6223e-006
recdev_early(1936)    -0.143521 5.02342e-007
recdev_early(1937)    -0.152528 6.31477e-007
recdev_early(1938)    -0.162187 3.46895e-007
recdev_early(1939)    -0.169402 1.97369e-007
recdev_early(1940)    -0.171357 3.57898e-007
recdev_early(1941)    -0.165782 5.93756e-007
recdev_early(1942)    -0.150456 2.19616e-007
recdev_early(1943)    -0.122348 1.87406e-007
recdev_early(1944)   -0.0773438 8.52057e-007
recdev_early(1945)   -0.0119281 6.72506e-007
recdev_early(1946)    0.0731147  4.2442e-007
recdev_early(1947)     0.166109 5.65159e-007
recdev_early(1948)     0.236334 6.22634e-007
recdev_early(1949)     0.236561 6.25562e-007
recdev_early(1950)     0.146847 5.89392e-007
recdev_early(1951)   0.00293959  5.2929e-007
recdev_early(1952)    -0.145514 6.14282e-007
recdev_early(1953)     -0.26617 3.59006e-007
recdev_early(1954)    -0.343374 6.98855e-007
recdev_early(1955)    -0.370209 6.92432e-007
recdev_early(1956)    -0.344444 6.34274e-007
recdev_early(1957)    -0.271874 7.75153e-007
recdev_early(1958)    -0.172862 3.42833e-007
recdev_early(1959)   -0.0869048 1.11017e-006
recdev_early(1960)   -0.0805529 3.70917e-007
recdev_early(1961)     -0.19518 7.69834e-007
recdev_early(1962)    -0.364946   6.893e-007
recdev_early(1963)    -0.489458 6.00341e-007
recdev_early(1964)     -0.49522  7.1811e-007
recdev_early(1965)    -0.357146  5.8171e-007
recdev_early(1966)    -0.162619 6.02038e-007
recdev_early(1967)   -0.0309403 4.62363e-007
recdev_early(1968)      0.15922 -2.56473e-007
recdev_early(1969)     0.375937 -7.97634e-008
recdev_early(1970)     0.577834 -1.4626e-007
recdev_early(1971)     0.851921 -1.20968e-006
recdev_early(1972)     0.319125 5.72575e-007
recdev_early(1973)    0.0155145 6.48118e-007
recdev_early(1974)   -0.0395164 3.03725e-007
recdev_early(1975)     0.275531 1.12929e-007
recdev_early(1976)     0.194094 3.00682e-007
recdev_early(1977)     0.120746 2.48082e-007
recdev_early(1978)    -0.084721 7.61977e-007
recdev_early(1979)    0.0396217 1.65234e-006
recdev1(1980)     0.179426 1.43221e-006
recdev1(1981)     0.436552 8.59145e-007
recdev1(1982)     0.692015 1.82845e-006
recdev1(1983)     0.363578 5.45311e-007
recdev1(1984)     0.486744 -2.91485e-006
recdev1(1985)     0.125623 -5.35936e-007
recdev1(1986)    -0.149304 -1.10475e-006
recdev1(1987)    -0.239466 -1.55555e-006
recdev1(1988)    -0.368109 -9.08799e-007
recdev1(1989)    -0.502389 -3.54937e-007
recdev1(1990)    -0.686327 -5.8912e-007
recdev1(1991)    -0.828326 -3.02492e-007
recdev1(1992)    -0.609288 -7.39085e-008
recdev1(1993)     0.330884 6.75019e-008
recdev1(1994)   0.00675545 6.42948e-008
recdev1(1995)    -0.747489 -2.63287e-008
recdev1(1996)     -0.77433 -3.75361e-008
recdev1(1997)    -0.589924 1.05358e-007
recdev1(1998)   -0.0559382 2.11515e-007
recdev1(1999)     0.595848 1.23185e-006
recdev1(2000)    -0.105031 2.94639e-007
recdev1(2001)     0.171259 3.32265e-007
recdev1(2002)        1.163 1.39231e-006
recdev1(2003)     0.413809 2.95797e-007
recdev1(2004)    -0.381869 1.75734e-007
recdev1(2005)     -0.13927 -4.91234e-008
recdev1(2006)     0.091375 4.18587e-008
recdev1(2007)      0.30985 4.70365e-009
recdev1(2008)     0.723948   1.654e-008
recdev1(2009)     0.403803 -5.26251e-008
recdev1(2010)     0.452087 -3.3222e-008
recdev1(2011)     0.381912 -1.48472e-007
recdev1(2012)    -0.314275 6.94565e-008
recdev1(2013)    -0.306591 9.70307e-008
recdev1(2014)    -0.333721 -4.59325e-007
recdev1(2015)    -0.196819 4.13436e-008
Fcast_recruitments(2016)            0            0
Fcast_recruitments(2017)            0            0
Fcast_recruitments(2018)            0            0
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
Fcast_recruitments(2026)            0            0
Fcast_recruitments(2027)            0            0
Fcast_recruitments(2028)            0            0
Fcast_impl_error(2017)            0            0
Fcast_impl_error(2018)            0            0
Fcast_impl_error(2019)            0            0
Fcast_impl_error(2020)            0            0
Fcast_impl_error(2021)            0            0
Fcast_impl_error(2022)            0            0
Fcast_impl_error(2023)            0            0
Fcast_impl_error(2024)            0            0
Fcast_impl_error(2025)            0            0
Fcast_impl_error(2026)            0            0
Fcast_impl_error(2027)            0            0
Fcast_impl_error(2028)            0            0
Q_parm[2]     0.120352 -2.33145e-008
Q_parm[4]     0.106587 -2.22956e-007
Q_parm[6]     0.391848 -4.48806e-008
Q_parm[8]     0.111012 1.75895e-008
Q_parm[10]     0.199408 7.43529e-008
Q_parm[12]     0.118175 -8.29192e-008
Q_parm[16]     0.127812 1.27349e-008
Q_parm[17]    -0.192652 1.15459e-006
selparm[1]      46.3619 -2.03448e-007
selparm[3]      5.13149 3.85057e-007
selparm[4]      18.3765 -1.16697e-006
selparm[7]       44.023 3.30609e-007
selparm[9]      5.08508 -5.53614e-007
selparm[10]      16.3866 -8.70742e-008
selparm[13]      43.5471 8.81118e-007
selparm[15]       5.3144 -1.39633e-006
selparm[19]      51.6344 -2.58798e-007
selparm[21]      5.90932 1.50459e-006
selparm[22]      17.6753 2.10777e-007
selparm[25]      51.6557 -2.50853e-007
selparm[27]      5.49663 3.65133e-007
selparm[31]      37.8379 1.88626e-007
selparm[33]      4.25433 -1.02732e-007
selparm[37]      44.5057 -4.70392e-007
selparm[39]      4.49883 8.24157e-007
selparm[43]      33.7045 -1.49029e-007
selparm[45]      4.45193 -7.04331e-007
selparm[49]      79.9736 -4.54075e-009
selparm[51]      6.99196 -1.01128e-007
selparm[55]       56.337 -2.34069e-007
selparm[57]      6.47038 1.46893e-006
selparm[61]      54.8854 2.52713e-007
selparm[63]      4.24572 -3.21021e-007
