"Year","1_CA_TWL","2_CA_NONTWL","3_CA_REC","4_ORWA_TWL","5_ORWA_NONTWL","6_OR_REC","7_WA_REC","Total Catch","Total Dead"
1889,"0.00","0.00","0.00","0.00","0.04","0.00","0.00","0.04","0.04"
1890,"0.02","0.07","0.00","0.00","0.04","0.00","0.00","0.13","0.13"
1891,"0.03","0.13","0.00","0.00","0.07","0.00","0.00","0.23","0.23"
1892,"0.05","0.20","0.00","0.00","3.64","0.00","0.00","3.89","3.89"
1893,"0.06","0.26","0.00","0.00","3.55","0.00","0.00","3.87","3.87"
1894,"0.08","0.33","0.00","0.00","3.55","0.00","0.00","3.96","3.96"
1895,"0.09","0.39","0.00","0.00","0.92","0.00","0.00","1.40","1.40"
1896,"0.11","0.46","0.00","0.00","0.22","0.00","0.00","0.79","0.79"
1897,"0.12","0.52","0.00","0.00","0.22","0.00","0.00","0.86","0.86"
1898,"0.14","0.59","0.00","0.00","0.13","0.00","0.00","0.86","0.86"
1899,"0.16","0.66","0.00","0.00","0.23","0.00","0.00","1.05","1.05"
1900,"0.17","0.72","0.00","0.00","0.30","0.00","0.00","1.19","1.19"
1901,"0.19","0.79","0.00","0.00","0.39","0.00","0.00","1.37","1.37"
1902,"0.20","0.85","0.00","0.00","0.48","0.00","0.00","1.53","1.53"
1903,"0.22","0.92","0.00","0.00","0.56","0.00","0.00","1.70","1.70"
1904,"0.23","0.98","0.00","0.00","0.73","0.00","0.00","1.94","1.94"
1905,"0.25","1.05","0.00","0.00","0.74","0.00","0.00","2.04","2.04"
1906,"0.26","1.11","0.00","0.00","0.83","0.00","0.00","2.20","2.20"
1907,"0.28","1.18","0.00","0.00","0.91","0.00","0.00","2.37","2.37"
1908,"0.30","1.25","0.00","0.00","1.95","0.00","0.00","3.50","3.50"
1909,"0.31","1.31","0.00","0.00","1.09","0.00","0.00","2.71","2.71"
1910,"0.33","1.38","0.00","0.00","1.18","0.00","0.00","2.89","2.89"
1911,"0.34","1.44","0.00","0.00","1.26","0.00","0.00","3.04","3.04"
1912,"0.36","1.51","0.00","0.00","1.35","0.00","0.00","3.22","3.22"
1913,"0.37","1.57","0.00","0.00","1.44","0.00","0.00","3.38","3.38"
1914,"0.39","1.64","0.00","0.00","1.53","0.00","0.00","3.56","3.56"
1915,"0.40","1.70","0.00","0.00","2.23","0.00","0.00","4.33","4.33"
1916,"0.42","1.77","0.00","0.00","1.70","0.00","0.00","3.89","3.89"
1917,"0.66","2.96","0.00","0.00","1.79","0.00","0.00","5.41","5.41"
1918,"0.77","3.48","0.00","0.00","18.54","0.00","0.00","22.79","22.79"
1919,"0.54","1.62","0.00","0.00","7.61","0.00","0.00","9.77","9.77"
1920,"0.55","1.84","0.00","0.00","6.57","0.00","0.00","8.96","8.96"
1921,"0.45","1.85","0.00","0.00","6.33","0.00","0.00","8.63","8.63"
1922,"0.39","1.68","0.00","0.00","4.38","0.00","0.00","6.45","6.45"
1923,"0.42","1.79","0.00","0.00","5.10","0.00","0.00","7.31","7.31"
1924,"0.24","2.58","0.00","0.00","9.29","0.00","0.00","12.11","12.11"
1925,"0.17","3.69","0.00","0.00","11.48","0.00","0.00","15.34","15.34"
1926,"0.62","4.25","0.00","0.00","17.48","0.00","0.00","22.35","22.35"
1927,"1.05","4.87","0.00","0.00","22.79","0.00","0.00","28.71","28.71"
1928,"1.34","4.18","0.64","0.00","22.09","0.00","0.00","28.25","28.25"
1929,"1.58","4.07","1.29","0.00","17.73","0.00","0.00","24.67","24.67"
1930,"1.47","5.30","1.48","0.00","19.50","0.00","0.00","27.75","27.75"
1931,"0.88","4.74","1.97","0.00","11.69","0.00","0.00","19.28","19.28"
1932,"1.05","7.08","2.47","0.02","7.33","0.00","0.00","17.95","17.95"
1933,"1.63","2.81","2.96","0.01","10.30","0.00","0.00","17.71","17.71"
1934,"1.61","4.17","3.45","0.00","12.66","0.00","0.00","21.89","21.89"
1935,"1.68","6.31","3.95","0.01","9.69","0.00","0.00","21.64","21.64"
1936,"1.49","6.60","4.44","0.03","16.65","0.00","0.00","29.21","29.21"
1937,"1.77","4.31","5.27","0.06","14.82","0.00","0.00","26.23","26.23"
1938,"1.67","4.69","5.18","0.00","16.35","0.00","0.00","27.89","27.89"
1939,"1.73","4.71","4.53","0.09","10.63","0.00","0.00","21.69","21.69"
1940,"1.60","2.97","6.51","2.06","17.14","0.00","0.00","30.28","30.28"
1941,"1.16","4.19","6.02","3.17","27.38","0.00","0.00","41.92","41.92"
