"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"1889",216.8231,210.4291,201.391,192.7404,184.4616,176.5382,168.9551,161.6981,154.7526,148.1053,141.7437,135.6552,129.8285,124.2518,118.9148,113.807,108.9186,104.2401,99.7626,95.4774,91.3764,87.4515,83.6951,80.1,76.6595,73.3667,70.2153,67.1993,64.3129,61.5504,58.9066,56.3764,53.9547,51.6373,49.4193,47.2965,45.2649,43.3206,41.4599,39.679,37.9747,36.3435,34.7824,33.2884,31.8586,30.4901,29.1804,27.9271,26.7275,25.5795,24.48075,23.42921,22.42284,21.45966,20.53793,19.65576,18.81145,18.00347,17.2301,16.49002,15.78172,15.10384,14.45507,13.83418,13.23995,12.67125,12.12697,11.60607,11.10755,10.63045,10.17383,9.73683,9.31859,8.91833,8.53526,8.16864,7.81776,7.48196,7.16059,6.85301,6.55865,6.27693,6.00732,5.74929,5.50233,5.26599,5.03979,4.82331,4.61614,4.41786,4.2281,4.04649,3.87267,3.70633,3.54713,3.39476,3.24894,3.1094,2.97584,2.84802,63.4564
"1890",216.7248,207.5098,201.391,192.7404,184.4616,176.5382,168.9551,161.698,154.7525,148.1052,141.7435,135.6551,129.8282,124.2515,118.9145,113.8066,108.9182,104.2398,99.7623,95.4771,91.376,87.4511,83.6947,80.0997,76.6592,73.3664,70.215,67.199,64.3126,61.5501,58.9064,56.3761,53.9545,51.6371,49.419,47.2963,45.2647,43.3204,41.4597,39.6789,37.9745,36.3433,34.7822,33.2883,31.8584,30.49,29.1803,27.9269,26.7274,25.5794,24.48065,23.42911,22.42274,21.45956,20.53783,19.65566,18.81135,18.00337,17.2301,16.48995,15.78165,15.10377,14.45501,13.83412,13.2399,12.67119,12.12692,11.60602,11.10751,10.6304,10.17378,9.73679,9.31855,8.91829,8.53522,8.1686,7.81773,7.48193,7.16056,6.85298,6.55862,6.2769,6.0073,5.74926,5.5023,5.26596,5.03977,4.82329,4.61612,4.41784,4.22808,4.04647,3.87265,3.70631,3.54711,3.39475,3.24893,3.10938,2.97583,2.848,63.4561
"1891",216.6235,207.4152,198.5967,192.7404,184.4615,176.5381,168.955,161.6977,154.752,148.1047,141.7429,135.6543,129.8273,124.2505,118.9134,113.8055,108.917,104.2386,99.761,95.4759,91.3748,87.4499,83.6936,80.0987,76.6582,73.3654,70.214,67.1981,64.3118,61.5493,58.9055,56.3754,53.9538,51.6363,49.4183,47.2956,45.2641,43.3199,41.4591,39.6783,37.974,36.3429,34.7818,33.2878,31.858,30.4895,29.1799,27.9265,26.727,25.579,24.48031,23.42879,22.42243,21.45926,20.53754,19.65537,18.81108,18.0031,17.22983,16.48973,15.78143,15.10357,14.45482,13.83393,13.23971,12.67102,12.12675,11.60586,11.10736,10.63026,10.17365,9.73665,9.31842,8.91817,8.53511,8.16849,7.81762,7.48183,7.16046,6.85289,6.55853,6.27682,6.00721,5.74918,5.50223,5.26589,5.03971,4.82323,4.61606,4.41777,4.22802,4.04641,3.8726,3.70626,3.54706,3.3947,3.24889,3.10934,2.97578,2.84796,63.4553
"1892",216.5178,207.3186,198.5057,190.0658,184.4615,176.538,168.9549,161.6974,154.7515,148.1039,141.7418,135.653,129.8257,124.2488,118.9114,113.8034,108.9149,104.2364,99.7589,95.4738,91.3727,87.4479,83.6916,80.0968,76.6563,73.3636,70.2124,67.1965,64.3102,61.5478,58.9041,56.3739,53.9525,51.635,49.4172,47.2945,45.2631,43.3188,41.4581,39.6774,37.973,36.342,34.7809,33.287,31.8572,30.4888,29.1793,27.9259,26.7264,25.5784,24.4797,23.4282,22.42185,21.4588,20.537,19.65494,18.81066,18.0027,17.22935,16.48933,15.78105,15.1032,14.45446,13.83359,13.23939,12.67071,12.12646,11.60559,11.10708,10.63,10.1734,9.73641,9.3182,8.91795,8.53489,8.16829,7.81743,7.48164,7.16028,6.85272,6.55837,6.27667,6.00706,5.74904,5.5021,5.26576,5.03958,4.82312,4.61594,4.41767,4.22792,4.04631,3.87251,3.70617,3.54698,3.39462,3.24881,3.10927,2.97571,2.84789,63.4538
"1893",216.403,207.2177,198.4127,189.9793,181.9016,176.537,168.9517,161.6924,154.7438,148.0931,141.7273,135.6348,129.8039,124.2238,118.8836,113.7733,108.8829,104.2033,99.7251,95.4397,91.3388,87.4145,83.6589,80.0648,76.6252,73.3336,70.1834,67.1686,64.2834,61.5221,58.8794,56.3502,53.9298,51.6134,49.3963,47.2746,45.244,43.3006,41.4407,39.6606,37.957,36.3266,34.7663,33.273,31.8437,30.4759,29.1669,27.9141,26.7151,25.5676,24.46936,23.41828,22.41236,21.44973,20.52836,19.64663,18.80267,17.99503,17.22209,16.48237,15.77439,15.09683,14.44836,13.82775,13.23381,12.66536,12.12134,11.60069,11.1024,10.62551,10.16911,9.73231,9.31427,8.91419,8.53129,8.16484,7.81413,7.47849,7.15726,6.84983,6.55561,6.27403,6.00453,5.74661,5.49977,5.26354,5.03745,4.82108,4.614,4.4158,4.22613,4.0446,3.87087,3.70461,3.54548,3.39319,3.24744,3.10796,2.97445,2.84669,63.427
"1894",216.2849,207.1079,198.3175,189.8899,181.8186,174.0867,168.9505,161.6896,154.739,148.0856,141.7168,135.6208,129.7864,124.2028,118.8595,113.7465,108.8542,104.1728,99.6936,95.4075,91.3064,87.3821,83.6269,80.0335,76.5947,73.304,70.1548,67.141,64.2568,61.4965,58.8549,56.3268,53.9073,51.5917,49.3756,47.2547,45.225,43.2824,41.4233,39.644,37.9412,36.3114,34.7518,33.259,31.8304,30.4632,29.1547,27.9024,26.7039,25.5569,24.45904,23.4085,22.40301,21.44072,20.51977,19.63837,18.79484,17.98753,17.21492,16.47546,15.76778,15.09049,14.4423,13.82195,13.22825,12.66006,12.11625,11.59582,11.09774,10.62105,10.16484,9.72822,9.31036,8.91044,8.52771,8.16142,7.81085,7.47535,7.15426,6.84695,6.55286,6.27138,6.00201,5.7442,5.49747,5.26133,5.03534,4.81906,4.61206,4.41396,4.22436,4.04291,3.86925,3.70305,3.544,3.39177,3.24608,3.10665,2.9732,2.84549,63.4004
"1895",216.1623,206.9948,198.2116,189.7984,181.7327,174.007,166.606,161.6879,154.7359,148.0805,141.7091,135.61,129.7722,124.1852,118.8387,113.7227,108.8276,104.1442,99.6635,95.3764,91.2748,87.3503,83.5952,80.0022,76.5641,73.2742,70.1259,67.113,64.2298,61.4706,58.8299,56.3028,53.8843,51.5697,49.3545,47.2345,45.2056,43.2638,41.4055,39.627,37.9248,36.2959,34.7368,33.2447,31.8168,30.4501,29.1422,27.8904,26.6924,25.5459,24.44859,23.39839,22.39335,21.43149,20.51099,19.62993,18.78673,17.97975,17.20748,16.46838,15.76101,15.08402,14.4361,13.81603,13.22257,12.65462,12.11105,11.59085,11.09298,10.6165,10.16047,9.72405,9.30636,8.90662,8.52406,8.15792,7.80751,7.47215,7.15118,6.84402,6.55004,6.2687,5.99943,5.74174,5.4951,5.25907,5.03317,4.81698,4.61007,4.41206,4.22255,4.04117,3.86759,3.70146,3.54248,3.39031,3.24469,3.10532,2.97193,2.84427,63.3731
"1896",216.0426,206.8773,198.1034,189.6972,181.6457,173.9266,166.5316,159.447,154.7393,148.0845,141.7135,135.6143,129.7759,124.1878,118.8398,113.7221,108.8254,104.1404,99.6582,95.3699,91.2672,87.3419,83.5863,79.993,76.5547,73.2646,70.1164,67.1037,64.2207,61.4617,58.8213,56.2945,53.8763,51.562,49.3471,47.2275,45.1988,43.2574,41.3993,39.621,37.9191,36.2903,34.7316,33.2398,31.812,30.4456,29.1378,27.8862,26.6884,25.5421,24.44496,23.39491,22.39002,21.42832,20.50786,19.62694,18.78389,17.97705,17.20491,16.46591,15.75864,15.08175,14.43393,13.81394,13.22059,12.65272,12.10923,11.5891,11.0913,10.61489,10.15895,9.72259,9.30496,8.90528,8.52277,8.15669,7.80633,7.47102,7.15011,6.84299,6.54906,6.26775,5.99853,5.74088,5.49428,5.25829,5.03242,4.81626,4.60938,4.41139,4.22191,4.04056,3.86701,3.70091,3.54194,3.3898,3.24419,3.10484,2.97148,2.84385,63.3637
"1897",215.9198,206.7626,197.9909,189.5939,181.5492,173.843,166.4544,159.3766,152.5958,148.0893,141.7194,135.621,129.7831,124.1948,118.8462,113.7277,108.8297,104.1434,99.6597,95.3701,91.2661,87.3399,83.5834,79.9894,76.5507,73.2603,70.1118,67.099,64.216,61.457,58.8168,56.29,53.872,51.5578,49.3431,47.2236,45.1951,43.2538,41.3958,39.6177,37.916,36.2874,34.7286,33.237,31.8093,30.4429,29.1354,27.8839,26.6862,25.5399,24.4429,23.39292,22.38818,21.42654,20.50613,19.62537,18.78236,17.97557,17.20348,16.46453,15.75731,15.08049,14.43272,13.81278,13.21948,12.65166,12.10822,11.58813,11.09038,10.61401,10.15809,9.72177,9.30419,8.90454,8.52206,8.15601,7.80568,7.47039,7.14952,6.84242,6.54851,6.26723,5.99803,5.74039,5.49382,5.25784,5.032,4.81586,4.609,4.41103,4.22156,4.04023,3.86668,3.7006,3.54165,3.38951,3.24393,3.10459,2.97124,2.84361,63.3583
"1898",215.7938,206.6449,197.8812,189.4873,181.4496,173.7502,166.3742,159.3031,152.5281,146.0376,141.7235,135.6262,129.7889,124.201,118.8523,113.7332,108.8343,104.1468,99.6617,95.3708,91.2656,87.3382,83.5808,79.9861,76.5467,73.2559,70.1071,67.0942,64.211,61.4521,58.8119,56.2853,53.8673,51.5533,49.3388,47.2193,45.191,43.2499,41.3921,39.6142,37.9125,36.284,34.7255,33.2339,31.8065,30.4402,29.1327,27.8814,26.6837,25.5375,24.44066,23.39085,22.38608,21.4245,20.50426,19.62355,18.7806,17.97397,17.20193,16.46303,15.75589,15.07911,14.43141,13.81153,13.21827,12.6505,12.10712,11.58707,11.08937,10.61304,10.15717,9.72088,9.30334,8.90372,8.52128,8.15526,7.80496,7.46971,7.14887,6.8418,6.54792,6.26665,5.99748,5.73987,5.49332,5.25736,5.03154,4.81542,4.60858,4.41063,4.22118,4.03986,3.86633,3.70026,3.54132,3.3892,3.24363,3.10431,2.97097,2.84335,63.3525
