"Years","OFL","ABC","ACL","Landings","Total Dead"
2005,"fill_in","fill_in","fill_in","10.76","10.76"
2006,"fill_in","fill_in","fill_in","7.54","7.54"
2007,"fill_in","fill_in","fill_in","12.83","12.83"
2008,"fill_in","fill_in","fill_in","9.29","9.29"
2009,"fill_in","fill_in","fill_in","11.69","11.69"
2010,"fill_in","fill_in","fill_in","6.72","6.72"
2011,"fill_in","fill_in","fill_in","8.34","8.34"
2012,"fill_in","fill_in","fill_in","11.16","11.16"
2013,"fill_in","fill_in","fill_in","10.40","10.40"
2014,"fill_in","fill_in","fill_in","8.81","8.81"
2015,"fill_in","fill_in","fill_in","12.02","12.02"
2016,"fill_in","fill_in","fill_in","9.59","9.59"
2017,"fill_in","fill_in","fill_in","NA","NA"
