"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
" Years","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"1-SPR","0.32","0.22","0.38","0.25","0.33","0.17","0.21","0.27","0.23","0.19","0.25","0.19","NA"
"Exploitation_Rate","0.01","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","NA"
"Age 8+ Biomass (mt)","2,009","2,084","2,199","2,278","2,372","2,548","2,680","2,782","2,887","3,001","3,128","3,287","3,432"
"Spawning Biomass (mt)","384","402","419","437","455","473","494","515","538","563","590","617","646"
"95% Confidence Interval","292–477","305–498","319–519","333–540","348–562","363–584","379–608","397–634","416–661","436–690","458–722","480–754","504–788"
"Recruitment","123","158","200","307","226","240","227","115","117","121","141","174","176"
"95% Confidence Interval","63–239","81–309","98–407","161–583","111–460","120–482","111–468","52–252","52–264","51–288","57–347","68–442","69–448"
"Depletion (%)","16.9","17.6","18.4","19.2","20.0","20.8","21.7","22.6","23.6","24.7","25.9","27.1","28.4"
"95% Confidence Interval","13.6–20.2","14.2–21.0","14.9–21.9","15.5–22.8","16.2–23.7","16.9–24.6","17.7–25.7","18.5–26.7","19.4–27.9","20.4–29.1","21.4–30.4","22.5–31.7","23.6–33.1"
